timestamp	session	ioa	asdu	value	quality	iv	cot
2026-03-26 18:06:25.679	cl2	0	100	20	0	0	7
2026-03-26 17:56:42.983	cl2	3	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	4	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	6	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	12	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	14	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	20	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	22	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	28	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	30	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	36	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	38	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	44	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	46	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	52	30	0	0	0	20
2026-03-26 17:56:42.983	cl2	54	36	0.0	0	0	20
2026-03-26 17:56:42.983	cl2	60	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	62	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	68	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	70	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	76	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	78	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	84	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	86	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	92	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	94	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	100	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	102	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	108	30	0	0	0	20
2026-03-26 17:56:42.984	cl2	110	36	0.0	0	0	20
2026-03-26 17:56:42.984	cl2	116	30	0	0	0	20
